İsim,Adres,Telefon,E-posta
Lita Mantı,Adres yok,Numara yok,E-posta yok
Kolombo Kebap,Moda Caddesi,0216 338 1508,E-posta yok
Çiya Kebap 2,Adres yok,+902164185115,info@ciya.com.tr
Murat Karadeniz Pide,Adres yok,Numara yok,E-posta yok
Pehlivan,Adres yok,Numara yok,E-posta yok
Asmakat,Adres yok,Numara yok,E-posta yok
My Chef,Adres yok,Numara yok,E-posta yok
Fries Dinosaurs,Adres yok,Numara yok,E-posta yok
Rosa,Adres yok,Numara yok,E-posta yok
Köyüm Pidecisi,Moda Caddesi,Numara yok,E-posta yok
Viktor Levi Şarap Evi,Adres yok,Numara yok,E-posta yok
Havelka,Adres yok,Numara yok,E-posta yok
Khalkedon Kalamış,Adres yok,Numara yok,E-posta yok
Chicken Last Stop,Adres yok,Numara yok,E-posta yok
Köfteci Ramiz,Adres yok,Numara yok,E-posta yok
Ekspres İnegöl Köftecisi,Muvakkıthane Caddesi,Numara yok,E-posta yok
Şelale,Adres yok,Numara yok,E-posta yok
Törek,Adres yok,Numara yok,E-posta yok
Zevk Lokanta,Adres yok,Numara yok,E-posta yok
Pehlivan,Adres yok,Numara yok,E-posta yok
Casa di Moda,Adres yok,Numara yok,E-posta yok
Şölen,Adres yok,Numara yok,E-posta yok
Happy Moon's Kadıköy,Adres yok,Numara yok,E-posta yok
SushiCo Suadiye,Adres yok,Numara yok,E-posta yok
Belvü Jardin Restaurant,Adres yok,Numara yok,E-posta yok
Draft Gastropub,Acıbadem Caddesi,+90 216 3250051,E-posta yok
Çanak Kebap,Adres yok,+90 (216) 325 22 34,E-posta yok
Remina,Adres yok,Numara yok,E-posta yok
SushiCo Kalamış,Münir Nürettin Selçuk Caddesi,Numara yok,E-posta yok
Ekspres İnegöl Köftecisi,Bağdat Caddesi,Numara yok,E-posta yok
Flamingo,Adres yok,Numara yok,E-posta yok
An-gu-ye Büfe,Adres yok,Numara yok,E-posta yok
Kadi Nimet Balıkçılık,Serasker Caddesi,Numara yok,E-posta yok
Sultanahmet Köftecisi,Mustafa Mazharbey Sokağı,+902163609030,E-posta yok
Morello Cafe,Egemen Sokak,02163487852,rezzanbirol@gmail.com
Dürümcü Emmi,Osmanaga Mah. Mahmut Baba Cad.,Numara yok,E-posta yok
Binbir Tadım Döner,Adres yok,Numara yok,E-posta yok
Fatel,Itri Dede Sokağı,Numara yok,E-posta yok
Komşu,Adres yok,Numara yok,E-posta yok
Nane Gastropub,Itri Dede Sokağı,Numara yok,E-posta yok
Fit House sağlıklı yemek,Adres yok,Numara yok,E-posta yok
Mano Burger,İskele Sokak,Numara yok,E-posta yok
Yusuf Ustanın Yeri,Turşucu Deresi Sokak,Numara yok,E-posta yok
Selanik Rodop Köfte,Yeni Fidan Sokak,Numara yok,E-posta yok
Samsun Pide Evi,Şemsettin Günaltay Caddesi,Numara yok,E-posta yok
BİZİM DÖNER,Koşuyolu Caddesi,Numara yok,E-posta yok
KOŞUYOLU DALYAN,Kalfa Çeşmesi Sokak,Numara yok,E-posta yok
Ustaca Kebap,Koşuyolu Caddesi,Numara yok,E-posta yok
Olivia's Pizzeria,Bağdat Caddesi,02163552438,E-posta yok
Marmaris Büfe Şaşkınbakkal,Kazım Özalp Sokağı,Numara yok,E-posta yok
Bilinmiyor,Adres yok,Numara yok,E-posta yok
Yako Ocakbaşı,Fener Kalamış Caddesi,Numara yok,E-posta yok
Bilinmiyor,Adres yok,Numara yok,E-posta yok
Hasır Ev Yemekleri,Adres yok,Numara yok,E-posta yok
Cafe Cambridge,Adres yok,Numara yok,E-posta yok
Juliet,Adres yok,Numara yok,E-posta yok
Pizzeria Il Pellicano,Keresteci Aziz Sokağı,02163382328,E-posta yok
Paul's Homemade Pasta & Lasagna,Adres yok,Numara yok,E-posta yok
Pinsa,Adres yok,Numara yok,E-posta yok
Fornello Pizzeria,Serasker Caddesi,Numara yok,E-posta yok
Sema Hanımın Yeri,Adres yok,Numara yok,E-posta yok
