İsim,Adres,Telefon
Poğaçacı,Adres yok,Numara yok
Bilinmiyor,Adres yok,Numara yok
Taskin Kofte,Adres yok,Numara yok
Loving Hut,Adres yok,Numara yok
Sunset,Adres yok,Numara yok
Allsports Cafe,Bıyıklı Mehmet Paşa Sok.,Numara yok
Captain,Adres yok,Numara yok
Cafe Levent,Adres yok,Numara yok
1972 Çevre Pasta Cafe Restaurant,Adres yok,Numara yok
on1 Bistro,Adres yok,Numara yok
Sefik,Adres yok,Numara yok
Capital,Adres yok,Numara yok
Yücel simit,Adres yok,Numara yok
Sehr-i Simit,Adres yok,Numara yok
Arka Bahcemiz,Adres yok,Numara yok
Ulus 29,Ahmet Adnan Saygun Caddesi,+90 212 358 29 29
The House Cafe,Adres yok,Numara yok
Köşebaşı,Adres yok,Numara yok
Milk Cafe,Adres yok,Numara yok
Bodrum Mantı,Adres yok,Numara yok
Et Ekmek Salça,Adres yok,Numara yok
Pizzeria Ulus,Adres yok,Numara yok
China Big Box & Sushi,Adres yok,Numara yok
Kösteci Şaban Usta,Adres yok,Numara yok
Maydanoz Kebap,Adres yok,Numara yok
Balık Lounge,Adres yok,Numara yok
CookShop,Adres yok,Numara yok
ZerafEt,Adres yok,Numara yok
Adanalı Hasan Kolcuoğlu,Adres yok,Numara yok
مطعم المدينة بوراك,Adres yok,Numara yok
Namlı Kebap,Adres yok,Numara yok
Nisp-Et,Adres yok,Numara yok
Set Kebap,Adres yok,Numara yok
Tatlıses Kebap,Adres yok,Numara yok
Köfteci Ramiz,Adres yok,Numara yok
Konak Restaurant,Adres yok,Numara yok
Pizza Hut,Adres yok,Numara yok
Şirvan Kebap,Adres yok,Numara yok
Köfteci Ramiz,Adres yok,Numara yok
Osman Ev Yemekleri,Adres yok,Numara yok
My Ora Cafe,Adres yok,Numara yok
Median,Adres yok,Numara yok
Bilinmiyor,Adres yok,Numara yok
Kırçiçeği,Adres yok,Numara yok
Golden Kebap,Adres yok,Numara yok
Konyali,Adres yok,Numara yok
Yemen 2 Ocakbasi,Adres yok,Numara yok
Cengelköy Börekcisi,Adres yok,Numara yok
Kumrucu Doyum,Dereboyu Caddesi,02122600398
Adnan'in In Yeri,Adres yok,Numara yok
Meshur Bursa Negolkoftelisi,Adres yok,Numara yok
Sinop Mantı,Sinanpaşa Köprüsü Sokağı,Numara yok
Pidepark,Ihlamurdere Caddesi,02122583031
مطعم كبابجي منطقة  اتيلر,Adres yok,Numara yok
Sushi & Spice,Şair Nedim Caddesi,+90 534 608 33 83
Hacı Abdullah Saray Mutfağı,Adres yok,Numara yok
NUSR ET STEAKHOUSE,Adres yok,Numara yok
Bilinmiyor,Çırağan Caddesi,0212 227 07 37
Meat Co Steak House,Adres yok,Numara yok
Bilinmiyor,Adres yok,Numara yok
Bilinmiyor,Muallim Naci Caddesi,+902122655063
Hanedan Et,Adres yok,Numara yok
Arnavutköy Balıkçısı,Bebek Arnavutköy Caddesi,0212 257 05 25
İstanbul Emniyet Müdürlüğü Polis Evi Ortaköy Sosyal Tesisleri,Portakal Yokuşu,+902122589730
Bilinmiyor,Adres yok,Numara yok
Eggstra,Jandarma Mektebi Sokağı,Numara yok
Mia Mensa,Adres yok,Numara yok
Merakli,Adres yok,Numara yok
Zürüm Dürüm,Adres yok,Numara yok
Bilinmiyor,Dilhayat Sokak,Numara yok
Sans,Palmiye Sokak,+90 212 280 38 38
Lipari,Bebek Arnavutköy Caddesi,0212 263 25 74
Bilinmiyor,Adres yok,Numara yok
Bilinmiyor,satis meydani sk. no:2,Numara yok
Bilinmiyor,Adres yok,Numara yok
Trattoria Serenzo,Adres yok,Numara yok
Nusr-Et Burger Bebek,Adres yok,Numara yok
Babos Börekçilik,Adres yok,Numara yok
Elbet,Yaren Sokak,Numara yok
Bilinmiyor,Yaren Sokak,Numara yok
Tariflerle Yemekler,Adres yok,Numara yok
Tariflerle Yemekler,Fıstıklıköşk Sokağı,Numara yok
The House Cafe Akaretler,Adres yok,Numara yok
Emirgan Sütiş,Şair Nedim Caddesi,Numara yok
Bilinmiyor,Adres yok,Numara yok
Antakya Mutfağı & Meyhanesi,Şair Nedim Caddesi,Numara yok
Quppa Cafe,Şair Nedim Caddesi,Numara yok
Sisko Dürüm,Eskibahçe Sokağı,Numara yok
Meat'ng Steakhouse,Zeytinoğlu Caddesi,Numara yok
Feriye,Çırağan Caddesi,0212 227 22 16
Agafya Meyhanesi,Alaybeyi Sokağı,Numara yok
Raum,Adres yok,Numara yok
Bilinmiyor,Nüzhetiye Caddesi,Numara yok
Tribeca,Adres yok,Numara yok
Banyan,Adres yok,Numara yok
Elde borek,Adres yok,Numara yok
Bi Nevi Deli,Dilhayat Sokak,Numara yok
Mangerie Bebek,Cevdetpaşa Caddesi,Numara yok
Çıtır Usta Pideci,Adres yok,Numara yok
Tahtasaray,Meşeli Sokağı,+902122838585
مطعم المدينه,Adres yok,Numara yok
Bebek Balıkçı,Cevdetpaşa Caddesi,0212 263 34 47
Bebek Köftecisi,Bebek Hamamı Sokağı,0212 264 40 18
Akıntı Burnu Balık Restaurant,Bebek Arnavutköy Caddesi,0212 263 48 29
Whisper Kitchen Bar,Bebek Arnavutköy Caddesi,0212 263 10 45
Curtis Restaurant&Bar,Bebek Arnavutköy Caddesi,0542 302 05 05
Revma Balık,Bebek Arnavutköy Caddesi,0212 263 50 60
Şanda Tiryaki Ocakbaşı Restaurant,Yeşilpınar Sokağı,0212 265 13 90
Kuruçeşme AYBALIK,Arnavutköy Kuruçeşme Caddesi,0532 364 19 26
Mavi Balık,Muallim Naci Caddesi,+90 212 265 5480
Ringa Sea Food,Muallim Naci Caddesi,0532 066 03 03
MOMO Bebeköy,Adres yok,Numara yok
Backyard,Bebeköy Sokağı,Numara yok
Adnan Sarıhan gusto,Nispetiye Caddesi,02123584848
Ist Too,Hayrettin İskelesi Sokak,+90 (212) 275 8888
Shang Palace,Hayrettin İskelesi Sokağı,+90 (212) 275 8888
Çelebi ev yemekleri,Adres yok,Numara yok
Gözlemece,Şehit Dursun Bakan Sokağı,Numara yok
Dürümce,Adres yok,Numara yok
Lookin,Adres yok,Numara yok
Da Mario,Dilhayat Sokak,Numara yok
Bilinmiyor,Cevdetpaşa Caddesi,+90 212 287 12 56
Bilinmiyor,Adres yok,Numara yok
Nevale Mutfak,Mecit Ali Sokağı,+90 5523906857
Bilinmiyor,Vişnezade Cami Sokağı,Numara yok
Atıştır 1989,Süleyman Seba Caddesi,Numara yok
Buketist Lahmacun,Adres yok,Numara yok
HD İskender,Adres yok,Numara yok
Sampi Pide,Adres yok,Numara yok
Tarihi Unkapanı Pilavcısı,Adres yok,Numara yok
Baruthane Pilavcısı,Adres yok,Numara yok
Frontiere İstanbul,Cevdetpaşa Caddesi,+90 530 359 00 00
Eataly,Adres yok,Numara yok
Zanzibar,Adres yok,Numara yok
Terezza italia,Adres yok,Numara yok
Yalla falafel,Cihannuma Man. Serencebey Yokuşu,+90 531 912 08 28
Villa Emma,Adres yok,Numara yok
Papatya Dürüm,Adres yok,Numara yok
CZN Burak,Adres yok,Numara yok
La Sirene Bebek,Adres yok,Numara yok
Taco del Reyes,Şair Nedim Caddesi,+90 212 236 46 31
Sorriso Restaurant Kuruçeşme,Arnavutköy Kuruçeşme Caddesi,+90 532 399 8304
Macboos Restaurant,Adres yok,Numara yok
Kimchi Beşiktaş,Adres yok,Numara yok
Taco & Tortilla,Adres yok,Numara yok
Balkan Lokantası,Adres yok,Numara yok
Venge,Akasyalı Sokağı,Numara yok
Minoa Village,Kaktüs Sokak,Numara yok
Cantinery,Koru Sokağı,+902123536365
Alaf 2 Tek,Arnavutköy Kuruçeşme Caddesi,Numara yok
